epoch,filter,low_hz,high_hz,center_hz,bandwidth_hz
0,0,0.8924768567085266,6.0819172859191895,3.487197160720825,5.1894402503967285
0,1,5.311018466949463,10.389622688293457,7.850320816040039,5.078604221343994
0,2,9.28707218170166,14.60533332824707,11.946203231811523,5.31826114654541
0,3,13.456783294677734,18.11785888671875,15.787321090698242,4.661075592041016
0,4,17.581605911254883,22.567001342773438,20.074302673339844,4.985395431518555
0,5,21.5798397064209,26.94138526916504,24.26061248779297,5.361545562744141
0,6,26.147294998168945,31.326452255249023,28.736873626708984,5.179157257080078
0,7,30.865646362304688,35.47418975830078,33.169918060302734,4.608543395996094
1,0,0.8918904066085815,6.078985214233398,3.4854378700256348,5.187094688415527
1,1,5.312897205352783,10.394683837890625,7.853790283203125,5.081786632537842
1,2,9.282878875732422,14.600740432739258,11.94180965423584,5.317861557006836
1,3,13.451865196228027,18.10524559020996,15.778554916381836,4.653380393981934
1,4,17.58256721496582,22.568511962890625,20.075538635253906,4.985944747924805
1,5,21.57036590576172,26.92717170715332,24.248767852783203,5.356805801391602
1,6,26.158374786376953,31.339296340942383,28.748836517333984,5.18092155456543
1,7,30.860519409179688,35.472633361816406,33.16657638549805,4.612113952636719
2,0,0.8873283863067627,6.07314395904541,3.480236053466797,5.185815811157227
2,1,5.311920642852783,10.392341613769531,7.852130889892578,5.080420970916748
2,2,9.282072067260742,14.597955703735352,11.940013885498047,5.315883636474609
2,3,13.454950332641602,18.10855484008789,15.781752586364746,4.653604507446289
2,4,17.578441619873047,22.565399169921875,20.07192039489746,4.986957550048828
2,5,21.5734920501709,26.934791564941406,24.25414276123047,5.361299514770508
2,6,26.149995803833008,31.329776763916016,28.739887237548828,5.179780960083008
2,7,30.852527618408203,35.468170166015625,33.16034698486328,4.615642547607422
3,0,0.8850612640380859,6.072554588317871,3.4788079261779785,5.187493324279785
3,1,5.311768054962158,10.388490676879883,7.850129127502441,5.076722621917725
3,2,9.28212833404541,14.598615646362305,11.940372467041016,5.3164873123168945
3,3,13.455939292907715,18.10053062438965,15.778234481811523,4.644591331481934
3,4,17.573217391967773,22.55949592590332,20.066356658935547,4.986278533935547
3,5,21.569290161132812,26.931781768798828,24.25053596496582,5.362491607666016
3,6,26.148937225341797,31.332571029663086,28.740753173828125,5.183633804321289
3,7,30.853330612182617,35.4708137512207,33.162071228027344,4.617483139038086
4,0,0.8830130696296692,6.067388534545898,3.475200891494751,5.184375286102295
4,1,5.309023857116699,10.385184288024902,7.847104072570801,5.076160430908203
4,2,9.290132522583008,14.612361907958984,11.951247215270996,5.322229385375977
