epoch,train_loss,train_acc,val_loss,val_acc
1,0.6148540903303715,66.80607295986505,0.6081055722374847,58.18429414434861
2,0.5529261333946434,72.28684894918113,0.5025778449099997,75.06128007262824
3,0.5245601567845455,74.2039783510227,0.49348380820474763,76.13254652746255
4,0.5078395913999492,75.05447388767836,0.4794333715369736,77.90285973672265
5,0.4963201538624557,75.47972165600619,0.4137159436509229,82.60553790285974
6,0.48775665284442793,76.09650664229986,0.4481424829666165,77.46709033136632
7,0.4843804730817533,76.1193505306811,0.5232140395952307,72.6645483431684
8,0.4778519785591831,76.24411330568637,0.42716316503027213,82.79618701770313
9,0.47223627337784896,76.61840163070218,0.536332514838896,73.17294598275079
10,0.4668908403571768,76.97863217825262,0.34598939598038575,85.59237403540627
11,0.4592718445330004,77.69206438462079,0.3772798626319222,85.80118020880617
12,0.45413936991213144,78.06986715400295,0.40023335434388424,81.36177939173854
13,0.44910263325841054,77.93807549026499,0.4129806496526884,82.60553790285974
14,0.448094480204542,78.09622548675054,0.4149791278700898,81.98819791193827
15,0.45027533827737987,77.88535882476981,0.4003100182267203,82.21516114389469
16,0.44019525118293623,78.83250158149997,0.45425699072471565,72.89151157512482
17,0.4216650590141413,79.59865045336332,0.30748379662416986,87.1448025419882
18,0.41590994619096916,79.90967877978491,0.2978111186321231,86.79073990013617
19,0.4174147114919906,79.73044211710129,0.3010911523863889,87.18111665910122
20,0.41071203334268525,80.03444155479019,0.3102927267551422,84.63912846118929
21,0.4066458382068423,80.2013776621916,0.30127861214720686,86.08261461643214
22,0.4041304546269625,80.34898432557813,0.2944470139949218,85.23831139355424
23,0.40554560229240877,80.19962044000843,0.29443749815657516,87.68043576940535
24,0.40387043072944145,80.32438321501371,0.3092550655853921,84.62097140263278
25,0.4026486676619789,80.51064876643002,0.3304261939033218,86.28234226055379
26,0.39188885715585403,81.1397343080059,0.2778549428003422,87.56241488878801
27,0.3968500485324404,80.84100653686652,0.2836345741390318,86.79981842941443
28,0.39639637628051927,80.77598931608912,0.3911935570879259,76.82251475261008
29,0.3908327596116562,81.3084276375905,0.2786259828918222,87.0994098955969
30,0.3956084916720972,80.89899486891123,0.3086421943445137,88.01634135270086
31,0.3894074738628748,81.2434104168131,0.26761054601790246,88.47934634589197
32,0.3889845635212158,81.18366486258523,0.2877994151003119,87.18111665910122
33,0.3845315104776584,81.57552540943277,0.2628863027778225,87.25374489332728
34,0.3876066051084316,81.28031208265973,0.2819641515828561,87.68951429868362
35,0.38686020544166305,81.23286708371407,0.29773264024136725,85.54698138901497
36,0.38740553871475625,81.1590637520208,0.3246183454990387,83.79482523831139
37,0.3805421285494584,81.41210374639769,0.32199390800534816,83.96731729459827
38,0.38119274010528936,81.88479651367119,0.3997010221083959,76.61370857921017
39,0.37880806820891155,81.63702818584382,0.28241007889526476,86.42759872900591
